Date,Company,Ticker Symbol,Currency,Open,High,Low,Close,Adj Close,Volume
9/1/2007,Sony Interactive Entertainment,SONY,JPY,9.67,9.98,9.11,9.61,6.19,78629000.00
10/1/2007,Sony Interactive Entertainment,SONY,JPY,9.64,10.26,8.91,9.89,6.45,108874500.00
11/1/2007,Sony Interactive Entertainment,SONY,JPY,10.04,11.11,9.30,10.79,7.04,101608500.00
12/1/2007,Sony Interactive Entertainment,SONY,JPY,10.88,11.35,10.52,10.86,7.08,80701000.00
1/1/2008,Sony Interactive Entertainment,SONY,JPY,10.86,11.44,9.11,9.50,6.20,166912500.00
2/1/2008,Sony Interactive Entertainment,SONY,JPY,9.11,10.00,8.55,9.44,6.16,136625500.00
3/1/2008,Sony Interactive Entertainment,SONY,JPY,9.30,9.50,7.98,8.01,5.23,117068000.00
4/1/2008,Sony Interactive Entertainment,SONY,JPY,8.21,9.28,7.90,9.16,6.06,91112500.00
5/1/2008,Sony Interactive Entertainment,SONY,JPY,9.20,10.16,8.91,10.08,6.67,86817500.00
6/1/2008,Sony Interactive Entertainment,SONY,JPY,10.35,10.47,8.62,8.75,5.79,105801000.00
7/1/2008,Sony Interactive Entertainment,SONY,JPY,8.60,8.73,7.44,7.53,4.98,109820000.00
8/1/2008,Sony Interactive Entertainment,SONY,JPY,7.56,8.03,7.38,7.64,5.05,62565500.00
9/1/2008,Sony Interactive Entertainment,SONY,JPY,7.51,7.70,5.94,6.17,4.08,113258500.00
10/1/2008,Sony Interactive Entertainment,SONY,JPY,6.08,6.13,3.82,4.65,3.22,275882000.00
11/1/2008,Sony Interactive Entertainment,SONY,JPY,4.67,5.10,3.63,3.88,2.68,157270500.00
12/1/2008,Sony Interactive Entertainment,SONY,JPY,3.81,4.38,3.62,4.37,3.03,160793500.00
1/1/2009,Sony Interactive Entertainment,SONY,JPY,4.36,4.86,3.76,3.84,2.66,217191500.00
2/1/2009,Sony Interactive Entertainment,SONY,JPY,3.84,4.23,3.13,3.31,2.29,193267000.00
3/1/2009,Sony Interactive Entertainment,SONY,JPY,3.37,4.59,3.24,4.13,2.85,247567000.00
4/1/2009,Sony Interactive Entertainment,SONY,JPY,4.30,5.39,4.25,5.17,3.60,191758500.00
5/1/2009,Sony Interactive Entertainment,SONY,JPY,5.20,5.62,5.05,5.25,3.65,135766000.00
6/1/2009,Sony Interactive Entertainment,SONY,JPY,5.38,5.64,5.04,5.17,3.60,101348500.00
